"","nest","population","species","lat","lon","filename_forward","PCR_run","SRA_Run","readID"
"M855","PAA_3","PAA","dumicola","-33.77668333","18.95586667","M855_S33_L001_R1_001.fastq.gz",1,"SRR6489445","M855"
"M856","PAA_3","PAA","dumicola","-33.77668333","18.95586667","M856_S34_L001_R1_001.fastq.gz",1,"SRR6489440","M856"
"M862","PAA_5","PAA","dumicola","-33.77651667","18.95611667","M862_S35_L001_R1_001.fastq.gz",1,"SRR6489439","M862"
"M897","PAA_2","PAA","dumicola","-33.79816667","18.87153333","M897_S36_L001_R1_001.fastq.gz",1,"SRR6489443","M897"
"X236","MAH_3","MAH","mimosarum","-21.835084","46.89159","X236_S37_L001_R1_001.fastq.gz",1,"SRR6489542","X236"
"X237","MAH_3","MAH","mimosarum","-21.835084","46.89159","X237_S38_L001_R1_001.fastq.gz",1,"SRR6489541","X237"
"X238","MAH_3","MAH","mimosarum","-21.835084","46.89159","X238_S39_L001_R1_001.fastq.gz",1,"SRR6489544","X238"
"X244","MAH_5","MAH","mimosarum","-21.835043","46.890558","X244_S40_L001_R1_001.fastq.gz",1,"SRR6489543","X244"
"X246","MAH_5","MAH","mimosarum","-21.835043","46.890558","X246_S42_L001_R1_001.fastq.gz",1,"SRR6489538","X246"
"X255","MAH_8","MAH","mimosarum","-21.828757","46.862997","X255_S43_L001_R1_001.fastq.gz",1,"SRR6489537","X255"
"X256","MAH_8","MAH","mimosarum","-21.828757","46.862997","X256_S44_L001_R1_001.fastq.gz",1,"SRR6489540","X256"
"X257","MAH_8","MAH","mimosarum","-21.828757","46.862997","X257_S45_L001_R1_001.fastq.gz",1,"SRR6489539","X257"
"X259","MAH_9","MAH","mimosarum","-21.828414","46.861464","X259_S46_L001_R1_001.fastq.gz",1,"SRR6489546","X259"
"X261","MAH_9","MAH","mimosarum","-21.828414","46.861464","X261_S47_L001_R1_001.fastq.gz",1,"SRR6489545","X261"
"X281","SAK_17","SAK","mimosarum","-22.516216","45.530495","X281_S51_L001_R1_001.fastq.gz",1,"SRR6489560","X281"
"X282","SAK_17","SAK","mimosarum","-22.516216","45.530495","X282_S52_L001_R1_001.fastq.gz",1,"SRR6489557","X282"
"X399","ADDO_1","ADDO","dumicola","-33.446485","25.729542","X399_S175_L001_R1_001.fastq.gz",1,"SRR6489494","X399"
"X401","ADDO_1","ADDO","dumicola","-33.446485","25.729542","X401_S176_L001_R1_001.fastq.gz",1,"SRR6489493","X401"
"X402","ADDO_1","ADDO","dumicola","-33.446485","25.729542","X402_S3_L001_R1_001.fastq.gz",1,"SRR6489496","X402"
"X411","WEE_26","WEE","mimosarum","-28.844693","29.979695","X411_S75_L001_R1_001.fastq.gz",1,"SRR6489531","X411"
"X413","WEE_26","WEE","mimosarum","-28.844693","29.979695","X413_S76_L001_R1_001.fastq.gz",1,"SRR6489535","X413"
"X415","WEE_29","WEE","dumicola","-28.808757","29.940462","X415_S4_L001_R1_001.fastq.gz",1,"SRR6489462","X415"
"X416","WEE_29","WEE","dumicola","-28.808757","29.940462","X416_S5_L001_R1_001.fastq.gz",1,"SRR6489464","X416"
"X423","WEE_39","WEE","dumicola","-28.825537","29.958478","X423_S7_L001_R1_001.fastq.gz",1,"SRR6489463","X423"
